code,state,ev_count,total_generation,ev_electricity_demand_mwh
AL,Alabama,1450.0,145057994.0,4350.0
AK,Alaska,530.0,6247359.0,1590.0
AZ,Arizona,15000.0,111925144.0,45000.0
AR,Arkansas,520.0,67999352.0,1560.0
CA,California,256800.0,195465638.0,770400.0
CO,Colorado,11700.0,55386279.0,35100.0
CT,Connecticut,4450.0,39453552.0,13350.0
DE,Delaware,720.0,6240644.0,2160.0
DC,District Of Columbia,970.0,79331.0,2910.0
FL,Florida,25200.0,244252035.0,75600.0
GA,Georgia,15300.0,129239371.0,45900.0
HI,Hawaii,6590.0,9796773.0,19770.0
ID,Idaho,1080.0,18172120.0,3240.0
IL,Illinois,12400.0,188003357.0,37200.0
IN,Indiana,3030.0,113459711.0,9090.0
IA,Iowa,1090.0,63380569.0,3270.0
KS,Kansas,1610.0,51710213.0,4830.0
KY,Kentucky,1240.0,78804497.0,3720.0
LA,Louisiana,1110.0,102128485.0,3330.0
ME,Maine,750.0,11280700.0,2250.0
MD,Maryland,8080.0,43809648.0,24240.0
MA,Massachusetts,9760.0,27172882.0,29280.0
MI,Michigan,4210.0,115837095.0,12630.0
MN,Minnesota,4740.0,61517441.0,14220.0
MS,Mississippi,390.0,63473771.0,1170.0
MO,Missouri,3450.0,85095384.0,10350.0
MT,Montana,500.0,28212831.0,1500.0
NE,Nebraska,850.0,36966216.0,2550.0
NV,Nevada,4810.0,39640241.0,14430.0
NH,New Hampshire,1120.0,17087156.0,3360.0
NJ,New Jersey,12100.0,75033600.0,36300.0
NM,New Mexico,1260.0,32673682.0,3780.0
NY,New York,16600.0,132520501.0,49800.0
NC,North Carolina,7320.0,134249497.0,21960.0
ND,North Dakota,170.0,42615321.0,510.0
OH,Ohio,6510.0,126184610.0,19530.0
OK,Oklahoma,3290.0,86223721.0,9870.0
OR,Oregon,12400.0,64113560.0,37200.0
PA,Pennsylvania,7990.0,215385830.0,23970.0
RI,Rhode Island,600.0,8375257.0,1800.0
SC,South Carolina,1950.0,99364088.0,5850.0
SD,South Dakota,260.0,12616396.0,780.0
TN,Tennessee,3980.0,81554917.0,11940.0
TX,Texas,22600.0,477352425.0,67800.0
UT,Utah,5220.0,39375424.0,15660.0
VT,Vermont,1060.0,2178915.0,3180.0
VA,Virginia,8370.0,95509121.0,25110.0
WA,Washington,28400.0,116756729.0,85200.0
WV,West Virginia,230.0,67249025.0,690.0
WI,Wisconsin,3680.0,65936803.0,11040.0
WY,Wyoming,170.0,46112136.0,510.0
